dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
galar_pathology,hceb,4,48924,0.004677,0,0.0941,0.0409,0.0068,0.0542,0.0168
galar_pathology,hceb,5,43701,0.004178,0,0.0555,0.0698,0.0602,0.0575,0.0432
galar_pathology,hceb,6,43533,0.004162,0,0.0417,0.0351,0.0117,0.0359,0.0187
galar_pathology,hceb,7,32997,0.003154,0,0.0030,0.0001,0.0002,0.0002,0.0004
galar_pathology,hceb,8,17946,0.001716,1,0.1519,0.0525,0.0697,0.0766,0.0985
galar_pathology,hceb,9,7389,0.000706,1,0.0437,0.1251,0.0682,0.0576,0.0526
galar_pathology,hceb,10,180,0.000017,1,0.0020,0.0060,0.0133,0.0030,0.0067
galar_pathology,hceb,11,42,0.000004,1,0.0000,0.0278,0.0621,0.0000,0.0001
galar_pathology,hceb_t15,0,8960238,0.856549,0,0.9284,0.9353,0.0167,0.9318,0.0196
galar_pathology,hceb_t15,1,1120725,0.107135,0,0.5901,0.5790,0.1122,0.5835,0.1097
galar_pathology,hceb_t15,2,99474,0.009509,0,0.0852,0.0749,0.0621,0.0611,0.0416
galar_pathology,hceb_t15,3,85713,0.008194,0,0.3888,0.4874,0.2891,0.4193,0.1928
galar_pathology,hceb_t15,4,48924,0.004677,0,0.0938,0.0410,0.0067,0.0542,0.0167
galar_pathology,hceb_t15,5,43701,0.004178,0,0.0552,0.0702,0.0605,0.0574,0.0429
galar_pathology,hceb_t15,6,43533,0.004162,0,0.0418,0.0353,0.0118,0.0361,0.0189
galar_pathology,hceb_t15,7,32997,0.003154,0,0.0026,0.0001,0.0002,0.0001,0.0003
galar_pathology,hceb_t15,8,17946,0.001716,1,0.1521,0.0526,0.0697,0.0768,0.0986
galar_pathology,hceb_t15,9,7389,0.000706,1,0.0440,0.1250,0.0679,0.0579,0.0524
galar_pathology,hceb_t15,10,180,0.000017,1,0.0020,0.0060,0.0133,0.0029,0.0066
galar_pathology,hceb_t15,11,42,0.000004,1,0.0000,0.0278,0.0621,0.0000,0.0001
galar_pathology,hceb_t60,0,8960238,0.856549,0,0.9284,0.9353,0.0170,0.9317,0.0197
galar_pathology,hceb_t60,1,1120725,0.107135,0,0.5900,0.5789,0.1120,0.5835,0.1095
galar_pathology,hceb_t60,2,99474,0.009509,0,0.0850,0.0750,0.0622,0.0611,0.0417
galar_pathology,hceb_t60,3,85713,0.008194,0,0.3947,0.4878,0.2884,0.4221,0.1910
galar_pathology,hceb_t60,4,48924,0.004677,0,0.0940,0.0406,0.0072,0.0540,0.0172
galar_pathology,hceb_t60,5,43701,0.004178,0,0.0558,0.0692,0.0598,0.0576,0.0435
galar_pathology,hceb_t60,6,43533,0.004162,0,0.0415,0.0350,0.0115,0.0358,0.0185
galar_pathology,hceb_t60,7,32997,0.003154,0,0.0028,0.0001,0.0002,0.0002,0.0004
galar_pathology,hceb_t60,8,17946,0.001716,1,0.1520,0.0526,0.0698,0.0767,0.0987
galar_pathology,hceb_t60,9,7389,0.000706,1,0.0432,0.1262,0.0687,0.0574,0.0525
galar_pathology,hceb_t60,10,180,0.000017,1,0.0205,0.0089,0.0136,0.0081,0.0121
galar_pathology,hceb_t60,11,42,0.000004,1,0.0000,0.0278,0.0621,0.0000,0.0000
galar_pathology,condb,0,8960238,0.856549,0,0.9299,0.9308,0.0174,0.9302,0.0193
galar_pathology,condb,1,1120725,0.107135,0,0.5819,0.5934,0.1218,0.5864,0.1120
galar_pathology,condb,2,99474,0.009509,0,0.0810,0.0798,0.0643,0.0597,0.0377
galar_pathology,condb,3,85713,0.008194,0,0.3682,0.4953,0.2848,0.4119,0.1913
galar_pathology,condb,4,48924,0.004677,0,0.0861,0.0499,0.0083,0.0593,0.0177
galar_pathology,condb,5,43701,0.004178,0,0.0502,0.0832,0.0658,0.0555,0.0326
galar_pathology,condb,6,43533,0.004162,0,0.0376,0.0398,0.0106,0.0367,0.0177
galar_pathology,condb,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,condb,8,17946,0.001716,1,0.2127,0.0226,0.0300,0.0407,0.0538
galar_pathology,condb,9,7389,0.000706,1,0.0678,0.0701,0.0505,0.0563,0.0542
galar_pathology,condb,10,180,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,condb,11,42,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcea,0,8960238,0.856549,0,0.9290,0.9326,0.0191,0.9307,0.0202
galar_pathology,hcea,1,1120725,0.107135,0,0.5885,0.5764,0.1112,0.5815,0.1086
galar_pathology,hcea,2,99474,0.009509,0,0.0827,0.0752,0.0626,0.0609,0.0420
galar_pathology,hcea,3,85713,0.008194,0,0.3868,0.4970,0.2845,0.4217,0.1833
galar_pathology,hcea,4,48924,0.004677,0,0.0896,0.0403,0.0075,0.0534,0.0173
galar_pathology,hcea,5,43701,0.004178,0,0.0533,0.0690,0.0599,0.0560,0.0425
galar_pathology,hcea,6,43533,0.004162,0,0.0404,0.0359,0.0117,0.0357,0.0190
galar_pathology,hcea,7,32997,0.003154,0,0.0004,0.0000,0.0001,0.0001,0.0001
galar_pathology,hcea,8,17946,0.001716,1,0.1553,0.0498,0.0655,0.0739,0.0944
galar_pathology,hcea,9,7389,0.000706,1,0.0398,0.1381,0.0710,0.0557,0.0501
galar_pathology,hcea,10,180,0.000017,1,0.0015,0.0060,0.0133,0.0024,0.0054
galar_pathology,hcea,11,42,0.000004,1,0.0000,0.0417,0.0932,0.0000,0.0000
galar_pathology,hcea_s2,0,8960238,0.856549,0,0.9289,0.9328,0.0194,0.9308,0.0204
galar_pathology,hcea_s2,1,1120725,0.107135,0,0.5895,0.5754,0.1121,0.5814,0.1087
galar_pathology,hcea_s2,2,99474,0.009509,0,0.0820,0.0751,0.0627,0.0607,0.0421
galar_pathology,hcea_s2,3,85713,0.008194,0,0.3863,0.4971,0.2848,0.4213,0.1831
galar_pathology,hcea_s2,4,48924,0.004677,0,0.0900,0.0405,0.0075,0.0536,0.0173
galar_pathology,hcea_s2,5,43701,0.004178,0,0.0528,0.0688,0.0603,0.0556,0.0430
galar_pathology,hcea_s2,6,43533,0.004162,0,0.0404,0.0358,0.0118,0.0357,0.0190
galar_pathology,hcea_s2,7,32997,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcea_s2,8,17946,0.001716,1,0.1670,0.0506,0.0672,0.0762,0.0984
galar_pathology,hcea_s2,9,7389,0.000706,1,0.0396,0.1384,0.0709,0.0556,0.0500
galar_pathology,hcea_s2,10,180,0.000017,1,0.0013,0.0060,0.0133,0.0022,0.0049
galar_pathology,hcea_s2,11,42,0.000004,1,0.0000,0.0417,0.0932,0.0000,0.0000
galar_pathology,hcea_nosup,0,8960238,0.856549,0,0.9290,0.9326,0.0191,0.9307,0.0202
galar_pathology,hcea_nosup,1,1120725,0.107135,0,0.5885,0.5764,0.1112,0.5815,0.1086
galar_pathology,hcea_nosup,2,99474,0.009509,0,0.0827,0.0752,0.0626,0.0609,0.0421
galar_pathology,hcea_nosup,3,85713,0.008194,0,0.3869,0.4969,0.2845,0.4217,0.1833
galar_pathology,hcea_nosup,4,48924,0.004677,0,0.0897,0.0403,0.0076,0.0534,0.0173
galar_pathology,hcea_nosup,5,43701,0.004178,0,0.0535,0.0691,0.0599,0.0561,0.0424
galar_pathology,hcea_nosup,6,43533,0.004162,0,0.0404,0.0359,0.0117,0.0357,0.0190
galar_pathology,hcea_nosup,7,32997,0.003154,0,0.0004,0.0000,0.0001,0.0001,0.0001
